,sentence,scope
0,what expression would i use to say i love you if i were an italian,ins
1,"can you tell me how to say 'i do not speak much spanish', in spanish",ins
2,"what is the equivalent of, 'life is good' in french",ins
3,"tell me how to say, 'it is a beautiful morning' in italian",ins
4,"if i were mongolian, how would i say that i am a tourist",ins
5,how do i say 'hotel' in finnish,ins
6,"i need you to translate the sentence, 'we will be there soon' into portuguese",ins
7,please tell me how to ask for a taxi in french,ins
8,"can you tell me how i would say, 'more bread please' in french",ins
9,what is the correct way to say 'i am a visitor' in french,ins
10,"how would i say, 'i don't know the answer' in spanish",ins
11,i would like to know the proper way to greet an adult in portuguese,ins
12,what words would i use to tell someone i am lost if i were japanese,ins
13,how would i say thank you if i were russian,ins
14,can you tell me how i would normally say thank you as a french person,ins
15,i would like to know how to say hello in french,ins
16,if i were english how would i say subway,ins
17,i would i say subway if i were english,ins
18,how do you say hi in french,ins
19,in england how do they say subway,ins
20,translate hello in french,ins
21,how is hello said in french,ins
22,what do you call a subway if you were english,ins
23,how would i say if i were english subway,ins
24,how should i say hello in french,ins
25,how could i say twin in chinese,ins
26,how can i say not now in spanish,ins
27,what do spanish people say for the word cow,ins
28,translate hello to english,ins
29,how do you say goodbye in spanish,ins
30,how would i say love in french,ins
31,could you translate atm machine into english,ins
32,please translate grocery into french for me,ins
33,how do germans say goodnight,ins
34,tell me how the russians say notebook,ins
35,how do vietnameses people say hello,ins
36,how do i say thank you in japanese,ins
37,what is latin for i love you,ins
38,how can i thank somebody in italian,ins
39,how do i say you're welcome in chinese,ins
40,translate hello english to french,ins
41,what is hello in french,ins
42,what phrase means goodbye in hawaii,ins
43,what spanish word means hello,ins
44,translate hello to french,ins
45,translate english to french hello,ins
46,what is the word for hello spanish,ins
47,how do they say goodbye in hawaii,ins
48,what's local slang for goodbye in hawaii,ins
49,how do you say hello in french,ins
50,tell me how to say hello in spanish,ins
51,what do i say for goodbye in hawaii,ins
52,translate hello into french for me,ins
53,how do i say hello in french,ins
54,translate for me hello into french,ins
55,how would they say say goodbye in hawaii,ins
56,what is spanish for hello,ins
57,how would i say hello in french,ins
58,how can i say i love you in italy,ins
59,what is spanish for good morning,ins
60,how do you say it's snowing in german,ins
61,how would you say can i borrow five dollars in portuguese,ins
62,do you know how to say where is the restroom in french,ins
63,how would i say pleased to meet you if i were japanese,ins
64,can you translate hello into swedish for me,ins
65,can you translate i love you into french for me,ins
66,can you translate where's the bar into irish for me,ins
67,how would i say goodbye if i were norwegian,ins
68,how would i say i love you if i were french,ins
69,how would i say hello if i were swedish,ins
70,can you translate good bye into russian for me,ins
71,can you translate i have to go pee into korean for me,ins
72,how would i say i'm not guilty if i were mexican,ins
73,how do you say thank you in spanish,ins
74,how does one say thank you in spanish,ins
75,how can i say thank you in spanish,ins
76,what is thank you in spanish,ins
77,what is the way to say thank you in spanish,ins
78,"how do they say ""who is your father"" in german",ins
79,"how do they say ""where's the bathroom"" in spanish",ins
80,"how do they say ""how's it going"" in swahili",ins
81,"how do they say ""i love you"" in japanese",ins
82,"how do they say ""what's up"" in chinese",ins
83,how do you say thank you in german,ins
84,how do you say please in arabic,ins
85,how do you say cat in spanish,ins
86,how do you say i'm hungry in french,ins
87,how do you say i need coffee in dutch,ins
88,how do they say yes in brazil,ins
89,can you translate cat into russian for me,ins
90,can you translate bowl into russian for me,ins
91,how do they say hello in france,ins
92,i wanna know a phrase in spanish,ins
93,can you translate bat into russian for me,ins
94,how do they say no in germany,ins
95,can you translate hi into spanish for me,ins
96,i wanna learn a phrase in russian,ins
97,how do they say hello in germany,ins
98,can you translate milk into spanish for me,ins
99,how do they say hello in brazil,ins
100,i need $20000 transferred from my savings to my checking,ins
101,complete a transaction from savings to checking of $20000,ins
102,transfer $20000 from my savings account to checking account,ins
103,take $20000 from savings and put it in checking,ins
104,put $20000 into my checking account from my savings account,ins
105,send 100 dollars between bank of the west and bank of america acccounts,ins
106,send 50 dollars between bank of america and chase accounts,ins
107,send 2000 dollars between chase and rabobank accounts,ins
108,send 1200 dollars between usaa and navy federal accounts,ins
109,send 400 dollars between city bank and usaa accounts,ins
110,take $40 and transfer it to account a from b,ins
111,transfer $40 from account a to b,ins
112,move $40 from account b to account a,ins
113,put $40 from account a to b,ins
114,take $40 from account a and transfer it to account b,ins
115,i need to transfer from this account to that one,ins
116,need to transfer from one account to my other one,ins
117,i would like to transfer from one account to my second one,ins
118,i need to transfer from one account to my second one,ins
119,i have to transfer from one account to my other one,ins
120,send fifty dollars from me to carrie,ins
121,transfer sixty dollars to dad from my biggest accnt,ins
122,send over a hundred dollars from huntington into saving,ins
123,move 57 dollars from saving into mom,ins
124,transfer two hundred dollars between my portfolio and my money market account,ins
125,i need to transfer ten dollars from my bank of america account to my capital one account,ins
126,go ahead and send ten dollars from bank of america to capital one,ins
127,i must transfer ten dollars from my bank of america account to my capital one account,ins
128,i got to transfer ten dollars from my bank of america account to my capital one account,ins
129,i want you to send ten dollars from bank of america to capital one,ins
130,i need you to send ten dollars from bank of america to capital one,ins
131,i have to transfer ten dollars from my bank of america account to my capital one account,ins
132,send ten dollars from bank of america to capital one,ins
133,please send ten dollars from bank of america to capital one,ins
134,make a transfer of $200 from my savings account to my checking account,ins
135,please transfer $250 from checking to savings,ins
136,transfer $500 from my checking to my savings,ins
137,please transfer $100 from my checking to my savings account,ins
138,transfer $500 from my money market savings account to my checking account,ins
139,send money from one account to another,ins
140,transfer 200 dollars from paypal to savings,ins
141,transfer $10 from checking to savings,ins
142,send $100 from paypal to my bank,ins
143,please transfer 100 dollars between my amazon payments and savings accounts,ins
144,i would like to make a transfer,ins
145,i want to transfer funds between accounts,ins
146,send over 50 dollars between my shared and not shared accounts,ins
147,whats the quickest way to money from one account to another,ins
148,what is the process to move money from one account to another,ins
149,i need you to send 500 dollars from my high tier account to my regular checking account,ins
150,can you transfer money from a to b,ins
151,send my money between accounts,ins
152,how can i send money from one account to another,ins
153,i need to move money from one account to another,ins
154,send $20 from debit to steve's account,ins
155,send 20 dollars from savings to checking,ins
156,please transfer my funds,ins
157,please transfer $50 to my checking account from credit,ins
158,go ahead and move $200 from amazon to my bank account,ins
159,help me move my money,ins
160,i need my money to be moved,ins
161,help me move my money please,ins
162,i need to move my money,ins
163,move my money please,ins
164,i would like to transfer $5 from savings to checking,ins
165,transfer $5 from savings to checking,ins
166,can you transfer $5 from savings to checking,ins
167,send $5 from savings to checking,ins
168,please transfer $5 from savings to checking,ins
169,please switch $s checking to mortage,ins
170,please transfer $s from saving to checking,ins
171,could you transfer $x from saving to checking,ins
172,help me transfer $x from credit to debit,ins
173,please transfer $x from checking to saving,ins
174,transfer money to another account,ins
175,requesting money transfer between accounts,ins
176,transfer money from this account to that account,ins
177,can you transfer money from my account,ins
178,money transfer request,ins
179,send 100 dollars from checking to savings,ins
180,transfer 100 dollars checking to savings,ins
181,transfer 100 dollars between checking and savings,ins
182,take 100 dollars from checking and send it to savings,ins
183,move 100 dollars from checking to savings,ins
184,can we wire some money over to the other account i have,ins
185,time to move some cash from one account to another,ins
186,i need to throw some money into that other account,ins
187,let's send some money to another account,ins
188,i want to initiate a transfer from one account to the other,ins
189,transfer money from one place to another,ins
